Mæg	mag
cwearterne	cweartern
oð	oþ|oð
þæt	þæt|se
he	he
mid	mid
wytum	None
þæt	þæt|se
wif	wif
gewræce	gewrecan
Þa	þa|se
com	cuman
se	se
dæg	dæg
þe	þu|þe|se
se	se
dema	dema
gesætte	gesettan
And	and
wæron	wesan|seon|beon
gegeorcode	gegearcian
þa	þu|þa|se
reðan	reðe
wyta	None
And	and
wurdon	wurdon|weorþan
gefætte	gefetian
ætforan	ætforan
þam	þæm|þam|se
deman	deman|dema
þa	þu|þa|se
unscildigan	unscyldig
cristenan	cristen
on	on|an
swærtum	None
racentægum	racent-teah
Ða	þa|se
cwæð	cweðan
Philippus	philippus
mid	mid
fullum	full|ful
graman	grama|gram
to	toh|to
Eugenian	eugenia
his	hit|his|he
agenre	agen
dehter	dohtor
Sege	None
þu	þu
forscyldeguda	forscyldigian
hwi	hwy|hwi
woldest	willan
ðu	þu
beswican	beswican
þæt	þæt|se
mære	mære|mæran
wif	wif
Melantian	melantia
mid	mid
forligre	forliger
and	and
on	on|an
læces	læce
hiwe	hiw
hi	hi|heo
forlicgan	forlicgan
woldest	willan
Ða	þa|se
cwæð	cweðan
Eugenia	eugenia
þæt	þæt|se
heo	heo
eaþe	eaþe|eaþ
mihte	miht|meaht|magan
þæs	se
forlyres	forliger
unhlisan	unhlisa
hi	hi|heo
beladian	beladian
and	and
Melantian	melantia
onsage	onsagu
mid	mid
soðe	soð
oferdrifan	oferdrifan
gif	gif
Philippus	philippus
wolde	willan
gefæstnian	gefæstnian
mid	mid
aþe	aþ
þæt	þæt|se
seo	seon|seo|se
lease	leas
wrægistre	wregestre
ne	nesan|neh|ne
wurde	weorþan
fordæmed	None
Ða	þa|se
swor	swerian
Philippus	philippus
þæt	þæt|se
he	he
friðian	friþian
wolde	willan
þa	þu|þa|se
leasan	leas
wudewan	widuwe
ðeah	þeah
þe	þu|þe|se
heo	heo
gelignod	gelygnian
wurðe	weorþ
Þa	þa|se
bæd	bædan|biddan
Eugenia	eugenia
þæt	þæt|se
seo	seon|seo|se
wyln	wiln
sceolde	sculan
sæcgan	None
þam	þæm|þam|se
deman	deman|dema
hu	hu
hit	hit
gedon	gedon|gedo|don
wære	wære|wær|wesan|seon|beon
and	and
hu	hu
heo	heo
hyre	hyrian|hyre|hyran|hyr|hire|heo
hlæfdian	hlæfdige
wið	wiþ|wið
hyre	hyrian|hyre|hyran|hyr|hire|heo
lustas	lust
ahrædde	ahreddan
And	and
se	se
gerefa	gerefa
het	hettan|het|hedan|hatan
eac	eacan|eac
þa	þu|þa|se
cnihtas	cniht
Melantian	melantia
hyredes	None
cyðan	cyþan
be	be
ðison	þes
gif	gif
hi	hi|heo
þis	þes
gehyrdon	gehyrdan|gehyran
Þa	þa|se
cwæð	cweðan
seo	seon|seo|se
wyln	wiln
þæt	þæt|se
heo	heo
wyste	None
gefyrn	gefyrn
hu	hu
Eugenia	eugenia
ferde	feran
fracodlice	fracodlice
on	on|an
